county,year,crmrte,prbarr,polpc
1,81,.039884899,.28969601,.00178678
1,82,.038344901,.33811101,.0017665901
1,83,.030304801,.33044899,.00183577
1,84,.034725901,.36252499,.00188588
1,85,.036573,.32539499,.0019243601
1,86,.034752399,.32606199,.00189522
1,87,.035603601,.29826999,.00182786
3,81,.016392101,.20289899,.00059392001
3,82,.019065101,.162218,.00070466998
3,83,.0151492,.181586,.00065866002
3,84,.0136621,.194986,.00060889998
3,85,.0120346,.20689701,.00064133998
3,86,.0129982,.156069,.00067620998
3,87,.0152532,.132029,.00074588001
5,81,.0093371598,.40659299,.00082085002
5,82,.0123229,.38,.00135551
5,83,.0128064,.56190503,.00134163
5,84,.0138299,.66666698,.00133447
5,85,.0124753,.60395998,.00148221
5,86,.0142385,.69565201,.00113496
5,87,.0129603,.444444,.00123431
7,81,.0219159,.431095,.00143266
7,82,.0173807,.61233503,.0014164801
7,83,.024211001,.41940501,.00143978
7,84,.022343401,.412458,.0015046099
7,85,.0245848,.38065499,.00153415
7,86,.0241281,.30805701,.0014103299
7,87,.0267532,.36476001,.0015299401
9,81,.00751781,.63157898,.00083531003
9,82,.0087368498,.567164,.00073894003
9,83,.0136804,.37735799,.00086039997
9,84,.0143262,.41018,.00090074999
9,85,.0133173,.39354801,.00090213999
9,86,.0114417,.46268699,.00085385999
9,87,.0106232,.51821899,.00086018001
11,81,.018847199,.36965001,.00190672
11,82,.019853599,.42585599,.0013588
11,83,.019166799,.35424399,.0019803401
11,84,.0168042,.44642901,.0025506399
11,85,.0141194,.53080601,.0024759099
11,86,.0170081,.401544,.00282375
11,87,.0146067,.52466398,.0028820301
13,81,.0300493,.31966501,.001207
13,82,.036325902,.332885,.00134359
13,83,.0325271,.32602099,.00147627
13,84,.030127199,.302176,.00121383
13,85,.034978598,.298962,.00135557
13,86,.033535998,.30920601,.0012726201
13,87,.0296409,.365004,.00133771
15,81,.0168055,.45325801,.00095214997
15,82,.020004701,.44470599,.00084726
15,83,.0142092,.383607,.00088516
15,84,.016346,.345714,.00093406002
15,85,.016013499,.42397699,.00088964001
15,86,.019446099,.41927701,.00093715999
15,87,.020281401,.392111,.00103525
17,81,.0186469,.48398599,.00132718
17,82,.0211586,.42015499,.00134497
17,83,.0202915,.36320001,.0012986599
17,84,.0179276,.42238301,.00126205
17,85,.0196959,.464463,.00136732
17,86,.0185879,.395257,.00143266
17,87,.030428899,.25159901,.00129761
19,81,.0225338,.32619601,.00192984
19,82,.0183782,.18931299,.00193603
19,83,.0145267,.232283,.0021732899
19,84,.013686,.217308,.00194762
19,85,.0128511,.29166701,.00187412
19,86,.017433699,.244819,.00178402
19,87,.0221567,.16286001,.0020242501
21,81,.035034802,.26285401,.0018013699
21,82,.0367896,.240573,.0017689
21,83,.0366069,.24582399,.0016786701
21,84,.038439501,.250543,.0017722
21,85,.0413296,.258131,.0019133
21,86,.044164199,.248385,.00187187
21,87,.0437355,.23476,.0018295801
23,81,.031917501,.19430301,.00142489
23,82,.029021099,.286639,.00136854
23,83,.0286164,.28052199,.00137348
23,84,.027550001,.33461499,.00136426
23,85,.0293095,.287442,.00140413
23,86,.0256248,.30457699,.0013884
23,87,.0269836,.289121,.00146111
25,81,.0360686,.25596899,.0015846801
25,82,.037091698,.25681099,.00161219
25,83,.031213799,.291217,.00168541
25,84,.029444,.27732301,.0016528
25,85,.030507499,.28204301,.00160775
25,86,.031933099,.30160201,.0018003
25,87,.0302542,.32354799,.0019714001
27,81,.0353349,.26433,.00138425
27,82,.037154399,.303606,.00136862
27,83,.0294409,.24415199,.00143474
27,84,.0300368,.24735799,.00144269
27,85,.035528298,.221862,.00142401
27,86,.036674399,.21735699,.0013907
27,87,.0382489,.26801801,.00145013
33,81,.020039,.484561,.00061877997
33,82,.0144477,.485342,.00065885001
33,83,.016114799,.248555,.00065204001
33,84,.0141497,.259615,.00054421998
33,85,.0153797,.21791001,.00078046002
33,86,.0153723,.255072,.00080202997
33,87,.015918899,.27094999,.00075593003
35,81,.041413799,.287653,.00175133
35,82,.0489555,.239077,.00175006
35,83,.0412081,.285427,.0017223801
35,84,.040470801,.282276,.00175683
35,85,.045548901,.26084399,.00178623
35,86,.041706499,.25228101,.00194683
35,87,.040856902,.26602599,.00189444
37,81,.0223026,.238786,.00108865
37,82,.020130901,.32514501,.0011636399
